repo_nombre,es_privado,tiene_readme,documentacion,archivo_origen,fecha_actualizacion,url_repositorio,clasificacion_dinamica
checkpoint-DS-org/CP05_20FT_01,Sí,Sí,"Carrera Data Science - Módulo 1 Bienvenido al Checkpoint del Módulo 1 de la Carrera Data Science. ¡ Por favor lee TODO este material con atención INTRODUCCION El Checkpoint es un desafío técnico donde evaluamos conceptos vistos en el módulo. En esta instancia, buscamos asegurarnos que todos nuestros aplicantes tengan una base de conocimientos mínimos necesarios para luego seguir aprendiendo temas nuevos. Debe resolverse de manera individual. Si te copias o recibes ayuda de compañeros, además de estar incumpliendo con las normas de Henry (lo que te dejaría afuera de la carrera), estarás perjudicándote a ti mismo, porque el primer día de clase estarías extremadamente perdido. PASOS PARA RESOLVER EL CHECKPOINT: FORK Primero debes forkear este repo, haciendo click en el botón de arriba a la derecha. Una vez que tengas una copia de este repo en tu cuenta de , cloná el repo dentro de una nueva carpeta (en nuestro ejemplo, va a ser ""checkpoint_m1""). Asegurate de no utilizar la misma que el prep curse. Una vez clonado entrá a esa carpeta y ejecutá los siguientes comandos: python tests.py Si ves los tests fallando, estás listo para comenzar, si no lee bien el output para identificar cual es el error. RESOLVER EL CHECKPOINT Tu tarea es completar el código en de tal forma que pasen la mayoría de los tests. ENTREGAR TU CHECKPOINT Correr por ultima vez los tests y verificar cuantos pasan. Ten en cuenta que si te aparece ""1 failed;1 total"" es porque tienes un error de sintaxis: seguramente falta o sobra un corchete, paréntesis, dos puntos, etc. Saca un print de pantalla de tus tests. Luego, debes subir un commit a tu repo. Para hacerlo, debes ejecutar el siguiente comando: git add . git commit -m 'checkpoint commit' git push origin main Una vez finalizado, chequea: Que veas los cambios reflejados en el repo de tu cuenta de github (entrando a tu repo desde el browser.) Que no haya un require - solo debe haber codigo dentro de las funciones de cada ejercicio Atención: no debes realizar un commit después de la hora de entrega porque se anulara la totalidad del examen. Revisar la hora del entrega del examen en los emails que te llegaron. ¿TENES ALGUN PROBLEMA / CONSULTA? Si te ocurre algún problema, revisa los canales en Slack. Probablemente a algún compañero le paso algo similar y ya lo consulto. Si no encuentras la respuesta, puedes publicar un mensaje en dicho canal. No se puede hacer consultas sobre la resolucion de los ejercicios. GUIA DE ERRORES COMUNES Para...",README.md,2023-12-01 12:42:07,https://github.com/checkpoint-DS-org/CP05_20FT_01,"{""proposito_principal"": ""Evaluación técnica de conocimientos básicos de Data Science para estudiantes"", ""dominio_aplicacion"": ""Educación"", ""tipo_proyecto"": [""Evaluación técnica"", ""Ejercicios de programación""], ""tecnologias_backend"": [], ""tecnologias_frontend"": [], ""bases_datos"": [], ""ml_ia"": [], ""devops_cloud"": [], ""funcionalidades_clave"": [""Ejecución de tests automatizados"", ""Evaluación de código Python""], ""lenguajes_programacion"": [""Python""], ""tags_adicionales"": [""Educativo"", ""Evaluación"", ""Checkpoint"", ""Carrera Data Science""]}"
diip-io/diip-io,Sí,Sí,diip-io,README.md,2024-05-07 06:51:21,https://github.com/diip-io/diip-io,"{""proposito_principal"": ""No se puede determinar - falta información específica sobre el propósito del proyecto"", ""dominio_aplicacion"": ""No se puede determinar - falta información sobre el dominio de aplicación"", ""tipo_proyecto"": [], ""tecnologias_backend"": [], ""tecnologias_frontend"": [], ""bases_datos"": [], ""ml_ia"": [], ""devops_cloud"": [], ""funcionalidades_clave"": [], ""lenguajes_programacion"": [], ""tags_adicionales"": []}"
diip-io/nextjs-tailwindcss-blog-,No,No,Sin documentación disponible,,2024-05-10 01:23:54,https://github.com/diip-io/nextjs-tailwindcss-blog-,"{""proposito_principal"": ""Blog personal o corporativo con Next.js y Tailwind CSS"", ""dominio_aplicacion"": ""Blogging/Publicación de contenido"", ""tipo_proyecto"": [""Full Stack Web""], ""tecnologias_backend"": [""Next.js""], ""tecnologias_frontend"": [""Next.js"", ""Tailwind CSS""], ""bases_datos"": [], ""ml_ia"": [], ""devops_cloud"": [], ""funcionalidades_clave"": [], ""lenguajes_programacion"": [""JavaScript"", ""TypeScript""], ""tags_adicionales"": [""Template"", ""Blog""]}"
HerlinData/ai_car_company,Sí,Sí,"aicarcompany Automatizacion git checkout = cambiar de rama git pull origin = traer cambios de una rama git merge = unir cambios de ambas ramas git merge, no siempre se usa, cuando hay info personal de avance de un colaborador crear entorno virtual = python -m venv env activar entorno virtual, siempre que se quiere trabajar = env\Scripts\activate instalar todas las librerias = pip install -r requirements.txt actualizar siempre python ejecutar un archivo python cmd = python archive_name.py",README.md,2023-12-15 19:55:40,https://github.com/HerlinData/ai_car_company,"{""proposito_principal"": ""Automatización de procesos de desarrollo y gestión de versiones para un proyecto de IA"", ""dominio_aplicacion"": ""Desarrollo de Software"", ""tipo_proyecto"": [""Herramienta de Automatización"", ""Scripting""], ""tecnologias_backend"": [], ""tecnologias_frontend"": [], ""bases_datos"": [], ""ml_ia"": [], ""devops_cloud"": [""Git""], ""funcionalidades_clave"": [""Gestión de ramas Git"", ""Creación de entornos virtuales"", ""Instalación de dependencias"", ""Ejecución de scripts Python""], ""lenguajes_programacion"": [""Python""], ""tags_adicionales"": [""Documentación de procesos"", ""Guías de desarrollo""]}"
HerlinData/pet_store_api,Sí,Sí,Project Pet Store update databases lol chat gpt,README.md,2023-12-13 16:36:48,https://github.com/HerlinData/pet_store_api,"{""proposito_principal"": ""API para gestión de tienda de mascotas"", ""dominio_aplicacion"": ""E-commerce"", ""tipo_proyecto"": [""API REST""], ""tecnologias_backend"": [], ""tecnologias_frontend"": [], ""bases_datos"": [], ""ml_ia"": [], ""devops_cloud"": [], ""funcionalidades_clave"": [], ""lenguajes_programacion"": [], ""tags_adicionales"": []}"
programmingwithclaudio/advanced-python,Sí,Sí,"El Zen PEPs Python Enhancement Proposal (Propuesta de mejora Python) PEP rv8 realpython pep 8 Máxima cantidad de líneas para un 79 SnakeCase, nomenclatura en python gitignore io unipython ahorcado pre commit GitHub flake 8 mockaroo pokeapi google fonts Expresiones regulares List Comprehension Repo project Run app-linkedin prefect and tasks César Mayta w3techs ¿Cuál es la ventaja de la concurrencia frente al paralelismo? Rpta.: La concurrencia no necesita consumir más recursos del servidor ¿Comó se implementa la concurrencia en Python? Rpta.: Usando el paquete theading que viene en el core de python ¿Qué provoca el racecondition? Que el resultado no sea el esperado por alteraciones en una variable ¿Cuándo se produce un Deadlock? Cuando un grupo de threads se esperan unas a otras y ninguna puede continuar. ¿Qué permite el gil de python? Permite que un solo thread se ejecute a la vez en el mismo proceso. Async, Callbacks, futures, colas y semáforos. ¿Cómo se puede implementar callbacks en python? Rpta. : Creando funciones que son llamadas desde otras funciones ¿A qué se le conoce como futuros en Python? Rpta.: Con el paquete asyncio que viene por defecto en python. ¿Comó se implementa colas en python? Rpta.: Con el módulo queue ¿Comó se implementa semáforos en python? Rpta.: Con el módulo semaphore. ¿Qué es un etl? Extract transform load. ¿Qué paquete nos ayuda mejor a organizar nuestras tareas? Rpta. : Prefect ¿Cuándo debemos crear tareas asincronas en un etl? Rpta.: Para optimizar el tiempo de extración de datos, cuando la data al extraer crece y el tiempo de respuesta es más largo, cuando deben hacer múltiples extracciones y cargas al mismo tiempo, se quiere optimizar el tiempo de carga de datos. ¿Comó hacemos que una tarea se ejecute periódicamente? Rpta.: Usando Cron Jobs en un servidor de Linux. O Jenkins Web Scraping Manejador de dependencias en Pythcon: https://python-poetry.org Herramientas para web scraping usadas: BeautifulSoup https://www.crummy.com/software/BeautifulSoup Selenium https://selenium-python.readthedocs.io Puppeteer https://pptr.dev Link para descargar web driver de google chrome: https://googlechromelabs.github.io/chrome-for-testing Repositorio con código fuente (Python) https://github.com/pabloespana/code-web-scraping-python Repositorio con código fuente (Node.js) https://github.com/pabloespana/code-web-scraping-nodejs",README.md,2024-08-25 22:10:23,https://github.com/programmingwithclaudio/advanced-python,"{""proposito_principal"": ""Proyecto educativo avanzado de Python que cubre múltiples conceptos y técnicas de programación"", ""dominio_aplicacion"": ""Educación"", ""tipo_proyecto"": [""Educational Project"", ""Code Examples"", ""Tutorial Repository""], ""tecnologias_backend"": [], ""tecnologias_frontend"": [], ""bases_datos"": [], ""ml_ia"": [], ""devops_cloud"": [""pre-commit"", ""GitHub""], ""funcionalidades_clave"": [""Concurrencia con threading"", ""Programación asíncrona con asyncio"", ""Web Scraping"", ""ETL (Extract Transform Load)"", ""Tareas programadas con Cron Jobs"", ""Manejo de colas y semáforos""], ""lenguajes_programacion"": [""Python""], ""tags_adicionales"": [""Open Source"", ""Educational"", ""Best Practices"", ""PEP 8"", ""Code Quality""]}"
programmingwithclaudio/AdventureWorks-for-Postgres,No,Sí,"AdventureWorks for Postgres This project provides the scripts necessary to set up the OLTP part of the go-to database used in training classes and for sample apps on the Microsoft stack. The result is 68 tables containing HR, sales, product, and purchasing data organized across 5 schemas. It represents a fictitious bicycle parts wholesaler with a hierarchy of nearly 300 employees, 500 products, 20000 customers, and 31000 sales each having an average of 4 line items. So it's big enough to be interesting, but not unwieldy. In addition to being a well-rounded OLTP sample, it is also a good choice to demonstrate ETL into a data warehouse. Provided is a ruby file to convert CSVs available on CodePlex into a format usable by Postgres, as well as a Postgres script to create the tables, load the data, convert the hierarchyid columns, add primary and foreign keys, and create some of the views used by Adventureworks. How to set up the database: Download Adventure Works 2014 OLTP Script. Extract the .zip and copy all of the CSV files into the same folder, also containing updatecsvs.rb file and install.sql. Modify the CSVs to work with Postgres by running: Create the database and tables, import the data, and set up the views and keys with: (If you do not have a database created for your user account then you may need to also add: to the above two commands.) All 68 tables are properly set up, and 11 of the 20 views are established. The ones not built are those that rely on XML functions like value and ref. To see a list of tables, open psql, and then connect to the database and show all the tables with these two commands: Using with Docker You can spin up a new database using Docker with . You will need to rename the Adventure Works 2014 OLTP Script archive to adventureworks2014OLTPscript.zip to get this to work_ Motivation Five years ago I was pretty happy developing .NET apps for large organizations. The stack was mature, and good practices surrounding software development were very respected. The same kind of approach I appreciated from my days writing Java code was there, and the community was passionate. Then along came Windows 8. The //build/ conference in September 2011 revealed its first beta, and even with that early peek at the new direction things were headed, it was clear that everything about the platform was a haphazard combination of the new Metro apps along with all the traditional control panel and options and API for classic code. It left a very bad...",README.md,2024-01-09 16:16:07,https://github.com/programmingwithclaudio/AdventureWorks-for-Postgres,"{""proposito_principal"": ""Proporcionar scripts para configurar la base de datos OLTP AdventureWorks en PostgreSQL para entrenamiento y aplicaciones de muestra"", ""dominio_aplicacion"": ""Educación/Entrenamiento"", ""tipo_proyecto"": [""Database Migration"", ""ETL Tool"", ""Sample Database""], ""tecnologias_backend"": [], ""tecnologias_frontend"": [], ""bases_datos"": [""PostgreSQL""], ""ml_ia"": [], ""devops_cloud"": [""Docker""], ""funcionalidades_clave"": [""Conversión de CSVs a formato PostgreSQL"", ""Migración de datos desde SQL Server"", ""Creación de tablas y esquemas"", ""Configuración de claves primarias y foráneas"", ""Creación de vistas"", ""Conversión de columnas hierarchyid""], ""lenguajes_programacion"": [""Ruby"", ""SQL""], ""tags_adicionales"": [""Open Source"", ""Training Database"", ""Sample Data"", ""Database Migration""]}"
programmingwithclaudio/agent-ia-multimodal,Sí,Sí,".\venv\Scripts\Activate.ps1 # ← En PowerShell uvicorn app.main:app --reload git tag -a v1.0.1 560c9f -m ""Versión 1.0.1 - update 06-07"" git push origin v1.0.1 uvicorn app:app --port 8001 --reload git tag -a v1.0.2 88819 -m ""Versión 1.0.2- update 07-07"" git push origin v1.0.2 uvicorn app:app --port 8001 --reload",README.md,2025-07-08 05:49:47,https://github.com/programmingwithclaudio/agent-ia-multimodal,"{""proposito_principal"": ""API para agente IA multimodal"", ""dominio_aplicacion"": ""Inteligencia Artificial"", ""tipo_proyecto"": [""API REST"", ""Microservicio""], ""tecnologias_backend"": [""FastAPI""], ""tecnologias_frontend"": [], ""bases_datos"": [], ""ml_ia"": [], ""devops_cloud"": [], ""funcionalidades_clave"": [""Desarrollo con recarga automática"", ""Versionado con tags""], ""lenguajes_programacion"": [""Python""], ""tags_adicionales"": [""Open Source"", ""Producción""]}"
programmingwithclaudio/airflow_ml,Sí,Sí,"Machine Learning in production using Apache Airflow To build a solution using Machine Learning is a complex task by itself. Whilst academic Machine Learning has its roots in research from the 1980s, the practical implementation of Machine Learning Systems in production is still relatively new. This project is an example of how you can improve the two parts of any Machine Learning project - Data Validation and Model Evaluation. The goal is to share practical ideas, that you can introduce in your project relatively simple, but still achieve great benefits. Data Validation is the process of ensuring that data is present, correct, and meaningful. Ensuring the quality of your data through automated validation checks is a critical step in building data pipelines at any organization. Model validation occurs after you successfully train the model given the new data. We evaluate and validate the model before it's promoted to production. Ideally, the offline model validation step should include. Installation The project is dockerized and you have two options to run it: the Here is will be pulled from the Docker Hub; you can also build the Docker image by yourself; will initialize all necessary configs; will start up your application detached mode. After the application is started, you can easily have access to the project by the link http://localhost:8080/ Useage will create a new Bash session in the container. stops running containers without removing them. stops and removes containers. Experiments tracking from docker environment",README.md,2024-04-09 08:45:33,https://github.com/programmingwithclaudio/airflow_ml,"{""proposito_principal"": ""Implementar Machine Learning en producción con validación de datos y evaluación de modelos usando Apache Airflow"", ""dominio_aplicacion"": ""Machine Learning"", ""tipo_proyecto"": [""Pipeline de datos"", ""MLOps""], ""tecnologias_backend"": [], ""tecnologias_frontend"": [], ""bases_datos"": [], ""ml_ia"": [], ""devops_cloud"": [""Docker""], ""funcionalidades_clave"": [""Data Validation"", ""Model Evaluation"", ""Experiments tracking"", ""Pipeline de ML en producción""], ""lenguajes_programacion"": [], ""tags_adicionales"": [""Open Source"", ""Producción"", ""Dockerizado""]}"
programmingwithclaudio/api-controlnet-devs,Sí,Sí,"Proyecto n8n TEST (https://github.com/morhetz/gruvbox) (https://github.com/programmingwithclaudio/dotfiles) (https://opensource.org/licenses/MIT) http://localhost:9001/login Login minioadmin - minioadmin http://localhost:5678/setup Creala por defecto http://localhost:8080/ http://localhost:8080/manager Login http://localhost:8080 - 6f452646de12e76ae1625de209d77862 Utiliza el nombre del servicio en la red interna: Dado que ambos contenedores están en la misma red (), debes emplear el nombre del servicio definido en el docker-compose. En este caso, en lugar de , utiliza: Esto le indica a Evolution API que debe enviar los eventos al contenedor n8n. Verifica la configuración de los parámetros de webhook: Observa que en la configuración actual tienes: Si la intención es que Evolution API escuche o envíe eventos de forma global, es posible que necesites establecerlo en o revisar la documentación de Evolution API para confirmar si se requiere algún otro parámetro para gestionar las llamadas a webhook. Asegúrate de que la URL del servidor esté correctamente configurada: Actualmente, el parámetro en Evolution API está configurado como . Si esta URL se utiliza internamente para construir enlaces o redirigir llamadas, es posible que debas ajustarla para reflejar la red interna o la dirección externa correcta según el flujo de trabajo que estés implementando. Proyecto n8n TEST (https://postimg.cc/hQSpqXzw) Flujo de nodos e intrucciones.",README.md,2025-04-24 23:11:23,https://github.com/programmingwithclaudio/api-controlnet-devs,"{""proposito_principal"": ""Proyecto de prueba y configuración de n8n para automatización de flujos de trabajo con Evolution API"", ""dominio_aplicacion"": ""DevOps"", ""tipo_proyecto"": [""Workflow Automation"", ""Integration Platform""], ""tecnologias_backend"": [""n8n"", ""Evolution API""], ""tecnologias_frontend"": [], ""bases_datos"": [], ""ml_ia"": [], ""devops_cloud"": [""Docker"", ""Docker Compose""], ""funcionalidades_clave"": [""Configuración de webhooks"", ""Automatización de flujos"", ""Integración entre servicios"", ""Gestión de contenedores""], ""lenguajes_programacion"": [], ""tags_adicionales"": [""Testing"", ""Configuration"", ""Integration""]}"
